Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,128.778000,-75.946000,-90.000000,top
C2,10u,C_0402_1005Metric,128.905000,-72.644000,90.000000,top
C3,100n,C_0402_1005Metric,127.508000,-78.740000,0.000000,top
C4,100n,C_0402_1005Metric,127.508000,-79.756000,0.000000,top
C5,100n,C_0402_1005Metric,127.508000,-81.026000,0.000000,top
C6,100n,C_0402_1005Metric,120.650000,-77.470000,90.000000,top
C7,100n,C_0402_1005Metric,116.713000,-86.106000,90.000000,top
C8,100n,C_0402_1005Metric,116.713000,-83.566000,90.000000,top
C9,100n,C_0402_1005Metric,116.713000,-81.026000,90.000000,top
C10,100n,C_0402_1005Metric,127.226000,-86.614000,0.000000,top
C11,100n,C_0402_1005Metric,119.380000,-77.470000,90.000000,top
C12,1u,C_0402_1005Metric,124.460000,-77.470000,90.000000,top
C13,1u,C_0402_1005Metric,125.730000,-77.470000,90.000000,top
C14,100n,C_0402_1005Metric,127.988000,-70.866000,0.000000,top
C15,27p,C_0402_1005Metric,131.036000,-86.614000,180.000000,top
C16,27p,C_0402_1005Metric,132.588000,-82.169000,180.000000,top
J1,Conn_01x04_Male,PinHeader_1x04_P2.00mm_Vertical,115.570000,-72.184000,0.000000,top
J2,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,135.128000,-72.183800,0.000000,top
R1,27.4,R_0402_1005Metric,122.123200,-77.012800,90.000000,top
R2,27.4,R_0402_1005Metric,123.342400,-77.012800,90.000000,top
R3,10k,R_0402_1005Metric,127.508000,-72.644000,-90.000000,top
R4,1k,R_0402_1005Metric,127.508000,-74.930000,90.000000,top
R5,1k,R_0402_1005Metric,132.334000,-83.820000,-90.000000,top
U1,NCP511SN33T1G,TSOP-5_1.65x3.05mm_P0.95mm,131.572000,-74.168000,90.000000,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,121.920000,-73.152000,0.000000,top
U3,RP2040,RP2040-QFN-56,121.920000,-83.058000,0.000000,top
U5,74LVCH2T45DC,VSSOP-8_2.3x2mm_P0.5mm,131.318000,-78.740000,90.000000,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,129.413000,-83.820000,0.000000,top
