Designator,Footprint,Comment
U2,SOIC-8_5.23x5.23mm_P1.27mm,W25Q128JVS
"C14,C9,C11,C5,C7,C3,C6,C4,C10,C8",C_0402_1005Metric,100n
R3,R_0402_1005Metric,10k
"R5,R4",R_0402_1005Metric,1k
"R1,R2",R_0402_1005Metric,27.4
"C15,C16",C_0402_1005Metric,27p
U1,TSOP-5_1.65x3.05mm_P0.95mm,NCP511SN33T1G
"C13,C12",C_0402_1005Metric,1u
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,Crystal_GND24_Small
J1,PinHeader_1x04_P2.00mm_Vertical,Conn_01x04_Male
"C1,C2",C_0402_1005Metric,10u
U3,RP2040-QFN-56,RP2040
U5,VSSOP-8_2.3x2mm_P0.5mm,74LVCH2T45DC
J2,PinHeader_1x05_P2.00mm_Vertical,Conn_01x05_Male
U4,hitclip_2040_rcv,hitclip_6
